"FlightDate","Airline","Origin","Dest","Cancelled","Diverted","CRSDepTime","DepTime","DepDelayMinutes","DepDelay","ArrTime","ArrDelayMinutes","AirTime","CRSElapsedTime","ActualElapsedTime","Distance","Year","Quarter","Month","DayofMonth","DayOfWeek","Marketing_Airline_Network","Operated_or_Branded_Code_Share_Partners","DOT_ID_Marketing_Airline","IATA_Code_Marketing_Airline","Flight_Number_Marketing_Airline","Operating_Airline","DOT_ID_Operating_Airline","IATA_Code_Operating_Airline","Tail_Number","Flight_Number_Operating_Airline","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","DestCityName","DestState","DestStateFips","DestStateName","DestWac","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrDelay","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","DistanceGroup","DivAirportLandings"
"04-04-2022","Commutair Aka Champlain Enterprises, Inc.","GJT","DEN",FALSE,FALSE,1133,1123,0,-10,1228,0,40,72,65,212,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4301,"C5",20445,"C5","N21144",4301,11921,1192102,31921,"Grand Junction, CO","CO",8,"Colorado",82,11292,1129202,30325,"Denver, CO","CO",8,"Colorado",82,0,-1,"1100-1159",17,1140,1220,8,1245,-17,0,-2,"1200-1259",1,0
"04-04-2022","Commutair Aka Champlain Enterprises, Inc.","HRL","IAH",FALSE,FALSE,732,728,0,-4,848,0,55,77,80,295,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4299,"C5",20445,"C5","N16170",4299,12206,1220605,32206,"Harlingen/San Benito, TX","TX",48,"Texas",74,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,0,-1,"0700-0759",16,744,839,9,849,-1,0,-1,"0800-0859",2,0
"04-04-2022","Commutair Aka Champlain Enterprises, Inc.","DRO","DEN",FALSE,FALSE,1529,1514,0,-15,1636,0,47,70,82,251,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4298,"C5",20445,"C5","N21144",4298,11413,1141307,30285,"Durango, CO","CO",8,"Colorado",82,11292,1129202,30325,"Denver, CO","CO",8,"Colorado",82,0,-1,"1500-1559",21,1535,1622,14,1639,-3,0,-1,"1600-1659",2,0
"04-04-2022","Commutair Aka Champlain Enterprises, Inc.","IAH","GPT",FALSE,FALSE,1435,1430,0,-5,1547,0,57,90,77,376,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4296,"C5",20445,"C5","N11184",4296,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,11973,1197302,31973,"Gulfport/Biloxi, MS","MS",28,"Mississippi",53,0,-1,"1400-1459",16,1446,1543,4,1605,-18,0,-2,"1600-1659",2,0
"04-04-2022","Commutair Aka Champlain Enterprises, Inc.","DRO","DEN",FALSE,FALSE,1135,1135,0,0,1251,6,49,70,76,251,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4295,"C5",20445,"C5","N17146",4295,11413,1141307,30285,"Durango, CO","CO",8,"Colorado",82,11292,1129202,30325,"Denver, CO","CO",8,"Colorado",82,0,0,"1100-1159",19,1154,1243,8,1245,6,0,0,"1200-1259",2,0
"04-04-2022","Commutair Aka Champlain Enterprises, Inc.","DEN","TUL",FALSE,FALSE,955,952,0,-3,1238,0,77,105,106,541,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4294,"C5",20445,"C5","N11191",4294,11292,1129202,30325,"Denver, CO","CO",8,"Colorado",82,15370,1537002,34653,"Tulsa, OK","OK",40,"Oklahoma",73,0,-1,"0900-0959",25,1017,1234,4,1240,-2,0,-1,"1200-1259",3,0
"04-04-2022","Commutair Aka Champlain Enterprises, Inc.","IAH","LCH",FALSE,FALSE,2139,2136,0,-3,2218,0,26,52,42,127,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4293,"C5",20445,"C5","N14143",4293,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,12915,1291503,31205,"Lake Charles, LA","LA",22,"Louisiana",72,0,-1,"2100-2159",11,2147,2213,5,2231,-13,0,-1,"2200-2259",1,0
"04-04-2022","Commutair Aka Champlain Enterprises, Inc.","TYS","IAH",FALSE,FALSE,1129,1117,0,-12,1311,5,136,157,174,771,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4292,"C5",20445,"C5","N13124",4292,15412,1541205,35412,"Knoxville, TN","TN",47,"Tennessee",54,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,0,-1,"1100-1159",22,1139,1255,16,1306,5,0,0,"1300-1359",4,0
"04-04-2022","Commutair Aka Champlain Enterprises, Inc.","IAH","AEX",FALSE,FALSE,1424,1414,0,-10,1513,0,37,60,59,190,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4291,"C5",20445,"C5","N33182",4291,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,10185,1018502,30185,"Alexandria, LA","LA",22,"Louisiana",72,0,-1,"1400-1459",16,1430,1507,6,1524,-11,0,-1,"1500-1559",1,0
"04-04-2022","Commutair Aka Champlain Enterprises, Inc.","IAH","MOB",FALSE,FALSE,954,947,0,-7,1110,0,60,87,83,427,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4290,"C5",20445,"C5","N21154",4290,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,13422,1342202,30562,"Mobile, AL","AL",1,"Alabama",51,0,-1,"0900-0959",17,1004,1104,6,1121,-11,0,-1,"1100-1159",2,0
"04-04-2022","Commutair Aka Champlain Enterprises, Inc.","DEN","CPR",FALSE,FALSE,1540,1546,6,6,1650,0,45,70,64,230,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4288,"C5",20445,"C5","N14177",4288,11292,1129202,30325,"Denver, CO","CO",8,"Colorado",82,11122,1112205,31122,"Casper, WY","WY",56,"Wyoming",88,0,0,"1500-1559",13,1559,1644,6,1650,0,0,0,"1600-1659",1,0
"04-04-2022","Commutair Aka Champlain Enterprises, Inc.","MOB","IAH",FALSE,FALSE,705,704,0,-1,858,6,84,107,114,427,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4287,"C5",20445,"C5","N11184",4287,13422,1342202,30562,"Mobile, AL","AL",1,"Alabama",51,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,0,-1,"0700-0759",18,722,846,12,852,6,0,0,"0800-0859",2,0
